DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL,Symbol,Abundace,Symbol Key CM,Symbol Key S,Abundance Key S,Abunance Key P
Mau Xe,Barite,"Vein, cavity-fill, metasomatic",21.983,103.975,Vietnam,,BaSO4,null,Tin,Sn,Er,3.50E-04
Isparta,Barite,"Vein, cavity-fill, metasomatic",38.076,31.368,Turkey,,BaSO4,null,Tin; Beryllium,"Sn, Be",Ar,3.50E-04
Southeast Missouri Barite district,Barite,Residual,38.01214275,-90.72418223,United States of America,Missouri,BaSO4,null,Tin; Niobium and Tantalum,"Sn, Nb, Ta",Yb,3.20E-04
Cartersville,Barite,Residual,34.161,-84.798,United States of America,Georgia,BaSO4,null,Titanium,Ti,Hf,3.00E-04
Tuareg massif,Beryllium,Non-pegmatite,23.283333,5.516667,Algeria,,Be,0.00028,Titanium; Zirconium and Hafnium,"Ti, Zr, Hf",Cs,3.00E-04
Sierras Pampeanas,Beryllium,Non-pegmatite,-32,-65,Argentina,,Be,0.00028,Titanium; Vanadium,"Ti, V",Be,2.80E-04
Greenbushes,Beryllium; Lithium; Niobium and Tantalum; Tin,Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal,-33.866733,116.062458,Australia,,"Be, Li, Nb, Ta",null,Vanadium,V,U,2.70E-04
Brockman,Beryllium,Volcanogenic-hosted Be,-22.42729,117.341301,Australia,,Be,0.00028,Vanadium; Titanium,"Ti, V",Br,2.40E-04
Poona,Beryllium,Non-pegmatite,-26.9666667,117.4666667,Australia,,Be,0.00028,Zirconium and Hafnium,"Zr, Hf",Sn,2.30E-04
Curlew,Beryllium,Non-pegmatite,-21.17143,119.74352,Australia,,Be,0.00028,Zirconium and Hafnium; Titanium,"Ti, Zr, Hf",Ta,2.00E-04
Menzies,Beryllium,Non-pegmatite,-29.943333,121.126111,Australia,,Be,0.00028,Tellurium,Te,Eu,2.00E-04
Londonderry,Beryllium,Pegmatite,-30.95,121.15,Australia,,Be,0.00028,Tellurium; Rhenium,"Te, Re",As,1.80E-04
Finniss River,Beryllium,Pegmatite,-12.95,130.45,Australia,,Be,0.00028,Niobium and Tantalum; Tin,"Sn, Nb, Ta",Ge,1.50E-04
Wycheproof,Beryllium,Pegmatite,-36.083333,143.233333,Australia,,Be,0.00028,Beryllium; Niobium and Tantalum,"Be, Nb, Ta",W,1.25E-04
Mole Granite,Beryllium,Non-pegmatite,-30.5143425,151.6669644,Australia,,Be,0.00028,Barite; Rare-Earth Elements,"BaSO4, REE",Ho,1.30E-04
Torrington,Beryllium,Non-pegmatite,-29.313089,151.681915,Australia,,Be,0.00028,Barite; Gallium; Germanium,"BaSO4, Ge",Mo,1.20E-04
Habachtal,Beryllium,Non-pegmatite,47.2,12.366667,Austria,,Be,0.00028,Beryllium; Fluorite,"Be, CaF2'",Tb,1.20E-04
Weinebene,Beryllium,Pegmatite,46.839167,14.991944,Austria,,Be,0.00028,Tellurium; Platinum-Group Elements,"PGE, Te",Tl,8.50E-05
Diabazovoe,Beryllium,Non-pegmatite,52.23333,27.86667,Belarus,,Be,0.00028,Beryllium; Niobium and Tantalum; Rare-Earth Elements,"Nb, Ta, Be, REE",Lu,8.00E-05
Rondonia,Beryllium,Non-pegmatite,-11,-63,Brazil,,Be,0.00028,Beryllium; Lithium; Niobium and Tantalum,"Be, Li, Nb, Ta",Tm,5.20E-05
Santa Terezinha de Goiás,Beryllium,Non-pegmatite,-14.4333333,-49.69556,Brazil,,Be,0.00028,Beryllium; Tin,"Sn, Be",I,4.50E-05
Taquaral,Beryllium,Pegmatite,-21.071944,-48.410278,Brazil,,Be,0.00028,Beryllium; Lithium; Tellurium,"Be, Li, Te",In,2.50E-05
Minas Gerais,Beryllium,Be Type Rare-Metal Pegmatite,-19.8167,-43.95,Brazil,,Be,0.00028,Rhenium; Titanium,"Re, Ti",Sb,2.00E-05
Humaitá,Beryllium,Pegmatite,-21.7697222,-43.4902778,Brazil,,Be,0.00028,Indium,In,Cd,1.50E-05
Jaguaraçú,Beryllium,Pegmatite,-19.525807,-42.641126,Brazil,,Be,0.00028,Germanium,Ge,Hg,8.50E-06
Aracuai,Beryllium,Pegmatite,-16.778611,-41.910556,Brazil,,Be,0.00028,Germanium; Gallium,"Ga, Ge",Ag,7.50E-06
Maxixe,Beryllium,Pegmatite,-16.803611,-41.89,Brazil,,Be,0.00028,Beryllium; Tin; Lithium,"Be, Sn, Li",Se,5.00E-06
Brumado,Beryllium,Non-pegmatite,-14.233333,-41.666667,Brazil,,Be,0.00028,Barite; Gallium,"BaSO4, Ga",Pd,1.50E-06
Galiléia,Beryllium,Pegmatite,-18.9963,-41.5348,Brazil,,Be,0.00028,Gallium; Cobalt,"Ga, Co",Bi,8.50E-07
Sapucaia,Beryllium,Pegmatite,-18.900833,-41.484444,Brazil,,Be,0.00028,Cobalt; Tellurium,"Co, Te",He,8.00E-07
Lavra do Urucum,Beryllium,Pegmatite,-19.023056,-41.46,Brazil,,Be,0.00028,Cobalt; Platinum-Group Elements; Tellurium,"Co, PGE, Te",Ne,5.10E-07
Socotó,Beryllium,Non-pegmatite,-10.3101,-40.8108,Brazil,,Be,0.00028,Titanium; Zirconium and Hafnium; Manganese,"Ti, Zr, Hf, Mn",Pt,5.00E-07
Carnaiba,Beryllium,Non-pegmatite,-10.39785,-40.582272,Brazil,,Be,0.00028,,,Au,4.00E-07
Rila Mountains,Beryllium,Pegmatite,42.1333,23.55,Bulgaria,,Be,0.00028,,,Os,1.50E-07
Logtung,Beryllium,Non-pegmatite,60,-131.6,Canada,,Be,0.00028,,,Te,1.00E-07
Finlayson Lake,Beryllium,Non-pegmatite,61.691389,-130.773889,Canada,,Be,0.00028,,,Ru,1.00E-07
Yellowknife field,Beryllium,Pegmatite,62.442222,-114.3975,Canada,,Be,0.00028,,,Ir,1.00E-07
FI,Beryllium,Pegmatite,62.50012,-113.00135,Canada,,Be,0.00028,,,Rh,1.00E-07
Violet,Beryllium,Pegmatite,54.887336,-100.021786,Canada,,Be,0.00028,,,Re,7.00E-08
High Grade Dyke pegmatite,Beryllium,Pegmatite,56.6153,-95.8360999,Canada,,Be,0.00028,,,Kr,1.00E-08
Shatford Lake,Beryllium,Pegmatite,50.3918999,-95.4999999,Canada,,Be,0.00028,,,Xe,3.00E-09
Bernic Lake,Beryllium,Be Type Rare-Metal Pegmatite,50.4172688,-95.4361725,Canada,,Be,0.00028,,,Pa,1.40E-10
Buck-Coe-Pegli pegmatite,Beryllium,Pegmatite,50.417801,-95.385017,Canada,,Be,0.00028,,,Ra,9.00E-11
Silver Leaf-Greer Lake,Beryllium,Pegmatite,50.3505999,-95.2686,Canada,,Be,0.00028,,,Po,2.00E-14
Yitt pegmatite,Beryllium,Pegmatite,51.7273,-91.8228,Canada,,Be,0.00028,,,Pu,3.00E-15
Nama Creek,Beryllium,Pegmatite,49.000019,-86.999977,Canada,,Be,0.00028,,,Np,3.00E-16
James Bay (Lithium One),Beryllium,Be Type Rare-Metal Pegmatite,52.201414,-78.506203,Canada,,Be,0.00028,,,Tc,1.35E-16
Height of Land Mine,Beryllium,Pegmatite,48.426944,-78.345278,Canada,,Be,0.00028,,,Ac,6.00E-17
Québec Lithium,Beryllium,Pegmatite,48.410833,-77.809167,Canada,,Be,0.00028,,,Rn,4.00E-17
Beryl Pit,Beryllium,Pegmatite,45.314167,-77.378333,Canada,,Be,0.00028,,,Pm,2.00E-21
Matthews Yankee,Beryllium,Pegmatite,44.583309,-76.41629,Canada,,Be,0.00028,,,Fr,1.00E-22
Mont Saint-Hilaire,Beryllium,Non-pegmatite,45.562778,-73.141667,Canada,,Be,0.00028,,,At,3.00E-24
New Brunswick,Beryllium,Non-pegmatite,46.5653163,-66.4619164,Canada,,Be,0.00028,,,,
Nova Scotia,Beryllium,Non-pegmatite,44.6819866,-63.744311,Canada,,Be,0.00028,,,,
Prince Edward Island,Beryllium,Non-pegmatite,46.23824,-63.1310704,Canada,,Be,0.00028,,,,
Mann #1,Beryllium,Non-pegmatite,54.233333,-62.383333,Canada,,Be,0.00028,,,,
Seal Lake,Beryllium,Peralkaline intrusion Be,54.233333,-62.383333,Canada,,Be,0.00028,,,,
Nain Complex,Beryllium,Non-pegmatite,56.522222,-61.528056,Canada,,Be,0.00028,,,,
Barkam,Beryllium,Pegmatite,31.905324,102.212808,China,,Be,0.00028,,,,
Jiuquling,Beryllium,Pegmatite,22.933333,111.958333,China,,Be,0.00028,,,,
Nanshan,Beryllium,Pegmatite,22.53301,113.93047,China,,Be,0.00028,,,,
Shirenzhang-Meiziwo,Beryllium,Pegmatite,24.8,114.225,China,,Be,0.00028,,,,
Huanggang,Beryllium,Pegmatite,30.45,114.8,China,,Be,0.00028,,,,
Baishizhang,Beryllium,Pegmatite,24.016667,115.533333,China,,Be,0.00028,,,,
Huangzhen-Zhujiachong,Beryllium,Pegmatite,30.466667,116.15,China,,Be,0.00028,,,,
Wanfengshan,Beryllium,Non-pegmatite,23.8911111,116.6263889,China,,Be,0.00028,,,,
Shixi,Beryllium,Non-pegmatite,30.583333,119.875,China,,Be,0.00028,,,,
Baerzhe,Beryllium,Non-pegmatite,45.455556,120.475,China,,Be,0.00028,,,,
Dongshanwan,Beryllium,Pegmatite,45.98115,127.80394,China,,Be,0.00028,,,,
Peñas Blancas,Beryllium,Non-pegmatite,5.501389,-75.776389,Colombia,,Be,0.00028,,,,
Muzo,Beryllium,Non-pegmatite,5.531389,-74.103889,Colombia,,Be,0.00028,,,,
Gachalá,Beryllium,Non-pegmatite,4.699167,-73.522778,Colombia,,Be,0.00028,,,,
Somondoco,Beryllium,Non-pegmatite,4.983333,-73.428056,Colombia,,Be,0.00028,,,,
Chivor,Beryllium,Non-pegmatite,4.903611,-73.368889,Colombia,,Be,0.00028,,,,
Otov,Beryllium,Pegmatite,49.4865,12.8425,Czech Republic,,Be,0.00028,,,,
Sušice,Beryllium,Pegmatite,49.23106,13.52018,Czech Republic,,Be,0.00028,,,,
Bližná,Beryllium,Pegmatite,48.72242,14.09516,Czech Republic,,Be,0.00028,,,,
Kostelní Vydrí,Beryllium,Pegmatite,49.1078,15.4228,Czech Republic,,Be,0.00028,,,,
Kracovice,Beryllium,Pegmatite,49.19383,15.84026,Czech Republic,,Be,0.00028,,,,
Vežná,Beryllium,Pegmatite,49.447778,16.274722,Czech Republic,,Be,0.00028,,,,
Sekeit,Beryllium,Non-pegmatite,24.7,34.775,Egypt,,Be,0.00028,,,,
Cornwall,Beryllium,Non-pegmatite,50.130833,-5.701389,England,,Be,0.00028,,,,
Eujaroki,Beryllium,Non-pegmatite,61.2023562,21.7339845,Finland,,Be,0.00028,,,,
Rosendal,Beryllium,Pegmatite,60.11222,22.57444,Finland,,Be,0.00028,,,,
Kimito,Beryllium,Pegmatite,60.1639,22.7278,Finland,,Be,0.00028,,,,
Hirvikallio,Beryllium,Pegmatite,60.72633377,23.62108218,Finland,,Be,0.00028,,,,
Pyörönmaa,Beryllium,Pegmatite,61.31508,23.97687,Finland,,Be,0.00028,,,,
Kangasala,Beryllium,Pegmatite,61.466667,24.066667,Finland,,Be,0.00028,,,,
Viitaniemi,Beryllium,Pegmatite,61.584444,24.677222,Finland,,Be,0.00028,,,,
Kymi,Beryllium,Non-pegmatite,60.5811499,26.8989086,Finland,,Be,0.00028,,,,
Schwarzwald,Beryllium,Non-pegmatite,48.366667,8.216667,Germany,,Be,0.00028,,,,
Triberg,Beryllium,Non-pegmatite,48.1363,8.2365,Germany,,Be,0.00028,,,,
Aschaffenburg,Beryllium,Pegmatite,49.965278,9.184167,Germany,,Be,0.00028,,,,
Fichtelgebirge,Beryllium,Pegmatite,50,12,Germany,,Be,0.00028,,,,
Hagendorf-Süd,Beryllium,Pegmatite,49.650278,12.459722,Germany,,Be,0.00028,,,,
Königshein,Beryllium,Pegmatite,50.9666667,12.8833333,Germany,,Be,0.00028,,,,
Greifenstein,Beryllium,Pegmatite,50.648611,12.931111,Germany,,Be,0.00028,,,,
Tittling,Beryllium,Pegmatite,48.727778,13.381111,Germany,,Be,0.00028,,,,
Ivigtut,Beryllium,Non-pegmatite,61.206111,-48.175556,Greenland,,Be,0.00028,,,,
Kvanefjeld,Beryllium,Peralkaline intrusion Be,60.975,-45.991667,Greenland,,Be,0.00028,,,,
Trivandrum,Beryllium,Pegmatite,8.483333,76.983333,India,,Be,0.00028,,,,
Val Vigezzo,Beryllium,Pegmatite,46.128889,8.413889,Italy,,Be,0.00028,,,,
Baveno,Beryllium,Pegmatite,45.916667,8.5,Italy,,Be,0.00028,,,,
Cuasso al Monte,Beryllium,Pegmatite,45.866667,8.866667,Italy,,Be,0.00028,,,,
Chiavenna Mountain,Beryllium,Pegmatite,46.3167,9.4,Italy,,Be,0.00028,,,,
Kobe,Beryllium,Pegmatite,34.6911,135.1973,Japan,,Be,0.00028,,,,
Aqshatau,Beryllium,Skarn and Greisen-Hosted Be-F,47.981111,74.056111,Kazakhstan,,Be,0.00028,,,,
Bota Burum,Beryllium,Pegmatite,46.166667,81.583333,Kazakhstan,,Be,0.00028,,,,
Zhanuzak,Beryllium,Pegmatite,49.68513,82.17266,Kazakhstan,,Be,0.00028,,,,
Kokshetau,Beryllium,Non-pegmatite,53.277778,69.388889,Kazakhstan,,Be,0.00028,,,,
Elenovsk Complex,Beryllium,Non-pegmatite,53.333333,69.416667,Kazakhstan,,Be,0.00028,,,,
Qaraoba,Beryllium,Non-pegmatite,47.266667,72.25,Kazakhstan,,Be,0.00028,,,,
Kounrad,Beryllium,Non-pegmatite,47.018889,75.135,Kazakhstan,,Be,0.00028,,,,
Qatpar,Beryllium,Non-pegmatite,52.6883262,76.4868851,Kazakhstan,,Be,0.00028,,,,
Verkhnee Espe,Beryllium,Non-pegmatite,48.1,81.45,Kazakhstan,,Be,0.00028,,,,
Ampandramaika pegmatite,Beryllium,Pegmatite,-20.84835,45.87385,Madagascar,,Be,0.00028,,,,
Bemokto,Beryllium,Pegmatite,-21.15,45.95,Madagascar,,Be,0.00028,,,,
Ambatovita,Beryllium,Pegmatite,-20.746667,46.075,Madagascar,,Be,0.00028,,,,
Anjanabonoina,Beryllium,Rare-metal pegmatite,-19.916667,46.533333,Madagascar,,Be,0.00028,,,,
Ambatonapetraka (Miandrarivo),Beryllium,Pegmatite,-19.978611,46.951111,Madagascar,,Be,0.00028,,,,
Antsofimbato,Beryllium,Pegmatite,-19.984722,46.952222,Madagascar,,Be,0.00028,,,,
Bemasoandrao pegmatite,Beryllium,Pegmatite,-21.4536,47.0858,Madagascar,,Be,0.00028,,,,
Malakialina,Beryllium,Pegmatite,-18.66667,47.2,Madagascar,,Be,0.00028,,,,
Madagascar,Beryllium,Non-pegmatite,-18.3714,47.5424,Madagascar,,Be,0.00028,,,,
Marivolanitra,Beryllium,Pegmatite,-18.16667,48,Madagascar,,Be,0.00028,,,,
Ambodibonara pegmatite,Beryllium,Pegmatite,-13.15849,48.85511,Madagascar,,Be,0.00028,,,,
Khaldzan-Burgtey,Beryllium,Pegmatite,48.408611,91.950833,Mongolia,,Be,0.00028,,,,
Altai,Beryllium,Non-pegmatite,48.538889,92.925,Mongolia,,Be,0.00028,,,,
Altai #3,Beryllium,Pegmatite,46.372778,96.257222,Mongolia,,Be,0.00028,,,,
Hutag Ull Ord,Beryllium,Pegmatite,49.395,102.69333,Mongolia,,Be,0.00028,,,,
Goricho,Beryllium,Pegmatite,48.1502,107.576,Mongolia,,Be,0.00028,,,,
Undur Tsagaan,Beryllium,Pegmatite,47.866667,110.166667,Mongolia,,Be,0.00028,,,,
Buren-Tsogto Mine,Beryllium,Pegmatite,46.733333,111.716667,Mongolia,,Be,0.00028,,,,
Khukh-Del-Ula,Beryllium,Pegmatite,50.1,114.6667,Mongolia,,Be,0.00028,,,,
Yugozor mine,Beryllium,Pegmatite,45.9,115.4,Mongolia,,Be,0.00028,,,,
Muambe,Beryllium,Non-pegmatite,-16.32306,34.09417,Mozambique,,Be,0.00028,,,,
Donkerhoek,Beryllium,Pegmatite,-23.63333,15.96667,Namibia,,Be,0.00028,,,,
Taghouaji,Beryllium,Non-pegmatite,17.161667,8.510833,Niger,,Be,0.00028,,,,
Nasarawa Eggon,Beryllium,Pegmatite,8.52944,7.72417,Nigeria,,Be,0.00028,,,,
Ririwai,Beryllium,Non-pegmatite,10.44,8.44,Nigeria,,Be,0.00028,,,,
Nandu,Beryllium,Pegmatite,9.23333,8.51667,Nigeria,,Be,0.00028,,,,
Saiya-Shokobo,Beryllium,Non-pegmatite,10.383333,8.933333,Nigeria,,Be,0.00028,,,,
Sabon Wana,Beryllium,Pegmatite,9.166667,9.75,Nigeria,,Be,0.00028,,,,
Bauchi,Beryllium,Pegmatite,10.30982,9.845172,Nigeria,,Be,0.00028,,,,
Skarsfjell,Beryllium,Pegmatite,58.73458,5.7452,Norway,,Be,0.00028,,,,
Evje-Iveland,Beryllium,Pegmatite,58.6,7.85,Norway,,Be,0.00028,,,,
Heftetjern,Beryllium,Pegmatite,59.183333,8.75,Norway,,Be,0.00028,,,,
Tørdal district,Beryllium,Pegmatite,59.15,8.8,Norway,,Be,0.00028,,,,
Høydalen,Beryllium,Pegmatite,59.14,9.266,Norway,,Be,0.00028,,,,
Langesundsfjord,Beryllium,Pegmatite,59.0005,9.7473,Norway,,Be,0.00028,,,,
Byrud Minnesund,Beryllium,Non-pegmatite,60.3940558,11.2207786,Norway,,Be,0.00028,,,,
Eidsvoll,Beryllium,Non-pegmatite,60.3167,11.2333,Norway,,Be,0.00028,,,,
Høgtuva Mountain,Beryllium,Pegmatite,66.404167,13.876389,Norway,,Be,0.00028,,,,
Makhad,Beryllium,Non-pegmatite,33.1307986,71.7392639,Pakistan,,Be,0.00028,,,,
Gujar Kili,Beryllium,Non-pegmatite,35.316667,71.833333,Pakistan,,Be,0.00028,,,,
Swat,Beryllium,Non-pegmatite,34.7933331,72.2889308,Pakistan,,Be,0.00028,,,,
Mingora,Beryllium,Non-pegmatite,34.7833,72.3667,Pakistan,,Be,0.00028,,,,
Charbagh,Beryllium,Non-pegmatite,34.8333333,72.4416667,Pakistan,,Be,0.00028,,,,
Stak Nala,Beryllium,Pegmatite,35.7,74.066667,Pakistan,,Be,0.00028,,,,
Khaltaro,Beryllium,Pegmatite,36.1977936,74.0851665,Pakistan,,Be,0.00028,,,,
Gilgit,Beryllium,Non-pegmatite,35.952035,74.5931921,Pakistan,,Be,0.00028,,,,
Shengus,Beryllium,Pegmatite,35.816667,74.816667,Pakistan,,Be,0.00028,,,,
Indus Suture,Beryllium,Non-pegmatite,31,88,China,,Be,0.00028,,,,
Macusani,Beryllium,Non-pegmatite,-14.14529188,-70.2359952,Peru,,Be,0.00028,,,,
Strzegom,Beryllium,Pegmatite,50.983333,16.333333,Poland,,Be,0.00028,,,,
Western Iberia,Beryllium,Non-pegmatite,41.763611,-6.735,Portugal,,Be,0.00028,,,,
Pitkäranta,Beryllium,Non-pegmatite,61.575,31.4777778,Russia,,Be,0.00028,,,,
Murmansk,Beryllium,Pegmatite,68.9543,33.1076,Russia,,Be,0.00028,,,,
Orlinogorski,Beryllium,Non-pegmatite,68.15,33.283333,Russia,,Be,0.00028,,,,
Khibiny,Beryllium,Pegmatite,67.616667,33.883333,Russia,,Be,0.00028,,,,
Western Keivy,Beryllium,Pegmatite,67.633333,36.7,Russia,,Be,0.00028,,,,
Voznesenkoye,Beryllium,Skarn and Greisen-Hosted Be-F,44.55982,41.03399,Russia,,Be,0.00028,,,,
Mursink,Beryllium,Pegmatite,57,61.466667,Russia,,Be,0.00028,,,,
Troitsky,Beryllium,Non-pegmatite,54.0833333,61.5666667,Russia,,Be,0.00028,,,,
Reft River,Beryllium,Non-pegmatite,57.053645,61.826675,Russia,,Be,0.00028,,,,
Boevskoe,Beryllium,Non-pegmatite,56.416667,62.033333,Russia,,Be,0.00028,,,,
Upper Tura River,Beryllium,Pegmatite,57.15,65.533333,Russia,,Be,0.00028,,,,
Marinksy,Beryllium,Non-pegmatite,56.2166667,87.75,Russia,,Be,0.00028,,,,
Ermakovskoe,Beryllium,Non-pegmatite,52.5035118,92.5932658,Russia,,Be,0.00028,,,,
Kyzyl City,Beryllium,Non-pegmatite,51.716667,94.45,Russia,,Be,0.00028,,,,
Buryatia,Beryllium,Non-pegmatite,54.8331146,112.4060529,Russia,,Be,0.00028,,,,
Sherlova Gora,Beryllium,Non-pegmatite,50.52,116.3,Russia,,Be,0.00028,,,,
Baid al Jimalah,Beryllium,Non-pegmatite,25.15,42.691667,Saudi Arabia,,Be,0.00028,,,,
Gravelotte,Beryllium; Titanium,Non-pegmatite; Sedimentary related,-23.95,30.616667,South Africa,,"Be, Ti",null,,,,
Noumas,Beryllium,Pegmatite,-29.8167,22.55,South Africa,,Be,0.00028,,,,
Franqueira,Beryllium,Non-pegmatite,42.18218,-8.35985,Spain,,Be,0.00028,,,,
